Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean,week1_judge_score,week2_judge_score,week3_judge_score,week4_judge_score,week5_judge_score,week6_judge_score,week7_judge_score,week8_judge_score,week9_judge_score,week10_judge_score,week11_judge_score
10,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.1955354551683722,0.0013763583454409,0.0145764396663987,0.2017229039301224,0.0010853614676737,0.0174918028021777,0.0154833679917,0.1371203572878105,,,,0.0025473286719997538,0.003215077605321508,0.0030762220839112265,0.003079291762894534,0.0038443056222969728,0.0039026947873344858,0.004052162799162155,0.0050291149731313,,,
11,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.2731578705640975,0.2763836277386911,0.351460085142274,0.3206098967217629,0.2854118386873228,0.4801332990295833,0.6295258831275997,0.8446354023318803,,,,0.002431541005090674,0.002549889135254989,0.0021647488738634557,0.0028424231657488007,0.0029473009770943455,0.002992066003623106,0.0030207031775572424,0.004678261990215169,,,
12,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,8,3,3.0,0.0321987449701344,0.0410072425242891,0.031995493877644,,,,,,,,,0.0026631163389088334,0.0026607538802660754,0.00250655132763137,,,,,,,,
13,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,8,4,4.0,0.0839898256114304,0.0867047831652823,0.1054540024759491,0.0619684039857222,,,,,,,,0.0013894520029089567,0.0017738359201773836,0.0015950781175835989,0.0009474743885829336,,,,,,,
14,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.002371610610501,0.1910998998880007,0.0294910108633988,0.0020932419057135,0.3340736882037513,0.0355125644997547,0.1198734381537513,0.0182442403803088,,,,0.0027789040058179134,0.002993348115299335,0.0030762220839112265,0.003316160360040268,0.003459875060067275,0.0039026947873344858,0.004052162799162155,0.005087587546362935,,,
15,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,8,1,1.0,0.0107022183946725,,,,,,,,,,,0.0015052396698180363,,,,,,,,,,
16,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0249047735512728,0.0252647199018942,0.0149647301151629,,,,,,,,,0.0019683903374543552,0.002328159645232816,0.00250655132763137,,,,,,,,
17,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0317963184540636,0.0297667408391464,0.002091146664889,0.0219909933477565,,,,,,,,0.0025473286719997538,0.0026607538802660754,0.0030762220839112265,0.0028424231657488007,,,,,,,
18,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1180838221757481,0.1071219056651689,0.0083841663147167,0.1444112195327695,0.0446844389986936,0.1866305177718013,0.3622526344120515,0.179318934251981,,,,0.0021999656712725145,0.0028824833702882483,0.0030762220839112265,0.0028424231657488007,0.003459875060067275,0.002992066003623106,0.003978487111904661,0.004649034475362512,,,
19,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,,,,,,,,,,False,True,10,9,10.0,0.2013350915490591,0.0004701379304169,0.1850149047564648,0.1783992600499593,0.3150215070585452,0.3293376638776042,0.1417374582458081,0.4177698824891866,0.3178925281513685,,,0.002431541005090674,0.003215077605321508,0.00250655132763137,0.003197726061467401,0.0032035880185808103,0.003122155829867589,0.004199514173677142,0.004736752106973125,0.006177797385711115,,
20,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,,False,True,10,10,10.0,0.0005800146386639,0.1731422536663425,0.161412225197103,0.0025222610648632,0.064301757133356,0.0011791878509958,0.310019640795004,0.0022973438688186,0.2935415814650782,,,0.0030104793396360727,0.002328159645232816,0.00250655132763137,0.0034345946586131345,0.003459875060067275,0.0036425151348455204,0.004125838486419648,0.004999905001804966,0.006177797385711115,0.008806641140609434,
21,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.1660078095292085,0.2202864046129858,0.2089386526783475,0.2710749610966913,0.0874877646288731,0.3530733047783345,0.0152817324063076,0.4006138393900139,0.3885658903835536,,,0.0027789040058179134,0.0026607538802660754,0.0021647488738634557,0.0028424231657488007,0.003459875060067275,0.0032522456561120718,0.004199514173677142,0.004736752106973125,0.006177797385711115,0.008806641140609434,
22,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0251537775964585,0.0160371237523862,,,,,,,,,,0.002084178004363435,0.0024390243902439024,,,,,,,,,
23,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.1770609734704726,0.1736755097345956,0.1714034742762552,0.0737580021692742,0.068927918208565,,,,,,,0.0025473286719997538,0.002549889135254989,0.00250655132763137,0.003316160360040268,0.003459875060067275,,,,,,
24,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,10,5,5.0,0.1683245180847311,0.1749990063574748,0.1691949930877413,0.2057768333592896,0.2835469254468414,,,,,,,0.0017368150036361958,0.002328159645232816,0.002848353781399284,0.002368685971457334,0.003075444497837578,,,,,,
25,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.0780082679581663,0.079236197539589,0.0785957069093192,0.1020664693793964,0.1360296885251251,0.1297793257212642,0.1707085341408285,,,,,0.0018526026705452756,0.0021064301552106432,0.0023926171763753983,0.0026055545686030674,0.003075444497837578,0.0023416168724006915,0.003389081613844711,,,,
26,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.0087446329921551,,,,,,,,,,,0.0013894520029089567,,,,,,,,,,
27,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.0844336573506888,0.0890132806153125,0.0894265428516031,0.0818571080817613,0.0988166450843169,0.1471620100688757,0.0764475227670426,,,,,0.0019683903374543552,0.002328159645232816,0.002278683025119427,0.0018949487771658673,0.0023065833733781835,0.0024717066986451744,0.003315405926587217,,,,
28,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.1240920804925899,0.1328856951109826,0.033860123568717,0.1260573269649126,0.1550205334798432,0.2222665572493048,0.1849408148472288,0.2391994243884157,0.2313344515262811,,,0.002431541005090674,0.0024390243902439024,0.0027344196301433126,0.0028424231657488007,0.003075444497837578,0.003122155829867589,0.003978487111904661,0.004122728685698831,0.006073088955444825,,
29,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.0372434929801522,0.0446091795614413,0.0409285655357123,0.0391388554658071,0.0315695761429596,,,,,,,0.0018526026705452756,0.0019955654101995565,0.0018229464200955417,0.0017765144785930006,0.0016658657696620215,,,,,,
30,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,,False,True,10,10,10.0,0.0989310933078028,0.0013053796318356,0.2163017592859539,0.2061369824334294,0.1654008697703897,0.0229525497975247,0.016554694019852,0.3518043536276939,0.0343689743271108,0.5246531002389805,,0.0026631163389088334,0.002993348115299335,0.0023926171763753983,0.0024871202700302007,0.003588018580810508,0.0036425151348455204,0.004346865548192129,0.004649034475362512,0.006282505815977404,0.008410816364703581,
31,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.3652809357323519,0.1975600550559017,0.3859843310933714,0.3027233467488246,0.0028260800195635,0.0511132522573366,0.5283000687958121,0.0040929468443759,0.690817126753577,0.0053536127112026,,0.002431541005090674,0.0028824833702882483,0.0026204854788873413,0.003079291762894534,0.0038443056222969728,0.0036425151348455204,0.003978487111904661,0.0050876226334155795,0.006177797385711115,0.008707670103946009,
32,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0312807511161031,0.0302101648610374,0.0199944741779245,,,,,,,,,0.0021999656712725145,0.0022172949002217295,0.0023926171763753983,,,,,,,,
33,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0152371165900493,0.0095819019624105,,,,,,,,,,0.0021999656712725145,0.002328159645232816,,,,,,,,,
34,Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.1073720437876588,0.1190663287588338,0.0268443300705821,0.1140717911759448,0.1281003049784138,0.1180871658594306,,,,,,0.002084178004363435,0.0026607538802660754,0.0027344196301433126,0.002723988867175934,0.002691013935607881,0.002992066003623106,,,,,
35,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1210076202738636,0.1280598555204515,0.1286033305867902,0.1196728121396418,0.1453121115312808,0.2138603066310749,0.1752600065931387,0.1372685709322445,,,,0.0015052396698180363,0.002328159645232816,0.0023926171763753983,0.0024871202700302007,0.0021784398526349513,0.00273188635113414,0.002799676115784761,0.0033332700012033106,,,
36,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,,False,True,10,10,10.0,0.0014310383163288,0.232092854291396,0.0544781053938431,0.0012674476371178,0.2729538789932325,0.2245581581364522,0.0184968929769259,0.2676347042072695,0.0434794473930303,0.4699932870498161,,0.0027789040058179134,0.0026607538802660754,0.0027344196301433126,0.003316160360040268,0.0032035880185808103,0.0035124253086010375,0.004346865548192129,0.004824469738583739,0.006282505815977404,0.00850975771599308,
37,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0136901700524101,0.0156153046303966,0.0035784374355019,0.0090743293525609,,,,,,,,0.0017368150036361958,0.002328159645232816,0.0027344196301433126,0.0018949487771658673,,,,,,,
38,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1145533277861117,0.1220512625680988,0.1413251713190178,0.1087122112230424,0.1397943494073117,0.1541165932302322,0.163996340355777,0.1454300835068788,,,,0.002431541005090674,0.002328159645232816,0.0026204854788873413,0.003197726061467401,0.003331731539324043,0.0032522456561120718,0.0037574600501321795,0.004473599212141285,,,
39,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.0635776902952256,0.0802209066015419,0.0146709650297296,0.0697428717456915,0.0865599321448805,0.0990093982623213,0.0623138222405234,,,,,0.0027789040058179134,0.002328159645232816,0.0030762220839112265,0.003079291762894534,0.003331731539324043,0.002861976177378623,0.003683784362874686,,,,
40,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.0001589856770157,0.0144701402143286,0.0039513563591382,9.18308866934752e-07,0.0058877849198056,0.0227116233633298,,,,,,0.0030104793396360727,0.0028824833702882483,0.0030762220839112265,0.003553028957186001,0.003588018580810508,0.0032522456561120718,,,,,
41,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.1506660479145259,0.155736799731253,0.1607285163082506,0.1401605934186799,0.17660758769208,0.1838760771219363,0.1901976231142297,0.2908694440264176,0.2545875570578778,,,0.002431541005090674,0.002328159645232816,0.002962287932655255,0.003197726061467401,0.0032035880185808103,0.0035124253086010375,0.003904811424647167,0.004385881580530672,0.006073088955444825,,
42,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0408041527223631,0.0437982943345,0.0507401875378365,0.0272636406125539,,,,,,,,0.002084178004363435,0.002328159645232816,0.0023926171763753983,0.002723988867175934,,,,,,,
43,Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.0125794262246207,,,,,,,,,,,0.0018526026705452756,,,,,,,,,,
44,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0286098377722644,0.0225951178015713,,,,,,,,,,0.002431541005090674,0.002328159645232816,,,,,,,,,
