Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_q_hat,week2_q_hat,week3_q_hat,week4_q_hat,week5_q_hat,week6_q_hat,week7_q_hat,week8_q_hat,week9_q_hat,week10_q_hat,week11_q_hat,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean
10,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.19249145686626434,0.0013455391163006425,0.016499582678079605,0.19600270688533783,0.0007635449874214828,0.019409576430916786,0.014663763344287872,0.1372179239988327,,,,0.19553545516837229,0.001376358345440948,0.014576439666398731,0.2017229039301224,0.0010853614676737788,0.01749180280217778,0.015483367991700046,0.1371203572878105,,,
11,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.2764059901237488,0.27886083722114563,0.3454556465148926,0.31621918082237244,0.27809596061706543,0.45364612340927124,0.5817055106163025,0.8442584872245789,,,,0.2731578705640975,0.2763836277386911,0.35146008514227406,0.32060989672176293,0.28541183868732284,0.48013329902958335,0.6295258831275997,0.8446354023318803,,,
12,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,8,3,3.0,0.030240081250667572,0.039297670125961304,0.04877876490354538,,,,,,,,,0.03219874497013444,0.04100724252428918,0.03199549387764404,,,,,,,,
13,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,8,4,4.0,0.0831415057182312,0.08387906849384308,0.10387160629034042,0.09524774551391602,,,,,,,,0.0839898256114304,0.0867047831652823,0.10545400247594917,0.061968403985722204,,,,,,,
14,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,,False,True,8,8,8.0,0.0021722703240811825,0.1901075392961502,0.030541861429810524,0.0022310095373541117,0.3340544104576111,0.03592763841152191,0.10067997127771378,0.018523650243878365,,,,0.0023716106105010795,0.1910998998880007,0.029491010863398826,0.00209324190571358,0.3340736882037513,0.035512564499754706,0.11987343815375133,0.018244240380308883,,,
15,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,8,1,1.0,0.016475100070238113,,,,,,,,,,,0.010702218394672582,,,,,,,,,,
16,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.02454274520277977,0.02421264350414276,0.02343353070318699,,,,,,,,,0.024904773551272866,0.02526471990189428,0.014964730115162953,,,,,,,,
17,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.029620926827192307,0.02928978018462658,0.0016662596026435494,0.0352039597928524,,,,,,,,0.0317963184540636,0.02976674083914644,0.0020911466648890703,0.02199099334775658,,,,,,,
18,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.11528238654136658,0.10684433579444885,0.006465612910687923,0.1366126984357834,0.04577171057462692,0.19196204841136932,0.3233073949813843,0.23507541418075562,,,,0.11808382217574817,0.10712190566516891,0.008384166314716794,0.1444112195327695,0.044684438998693614,0.18663051777180134,0.3622526344120515,0.17931893425198103,,,
19,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,,,,,,,,,,False,True,10,9,10.0,0.19190174341201782,0.0006838992121629417,0.18326883018016815,0.18333159387111664,0.3138231337070465,0.3168470859527588,0.13812226057052612,0.39141085743904114,0.3275028467178345,,,0.2013350915490591,0.00047013793041694046,0.18501490475646487,0.1783992600499593,0.31502150705854526,0.3293376638776042,0.14173745824580816,0.4177698824891866,0.31789252815136854,,
20,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,,False,True,10,10,10.0,0.0007682664436288178,0.169808492064476,0.16331683099269867,0.0023227015044540167,0.06727069616317749,0.0010858922032639384,0.29386940598487854,0.001848146435804665,0.28973835706710815,,,0.000580014638663978,0.1731422536663425,0.16141222519710305,0.002522261064863282,0.06430175713335609,0.0011791878509958718,0.310019640795004,0.0022973438688186415,0.2935415814650782,,
21,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.17098429799079895,0.22069360315799713,0.21367445588111877,0.2650929391384125,0.08853453397750854,0.3550020158290863,0.01495147030800581,0.3716655969619751,0.382758766412735,,,0.16600780952920857,0.22028640461298588,0.20893865267834752,0.2710749610966913,0.08748776462887316,0.3530733047783345,0.015281732406307603,0.40061383939001394,0.3885658903835536,,
22,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.025089174509048462,0.024751704186201096,,,,,,,,,,0.025153777596458555,0.016037123752386244,,,,,,,,,
23,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.17549066245555878,0.17364703118801117,0.1680596023797989,0.07705826312303543,0.06965646892786026,,,,,,,0.17706097347047262,0.1736755097345956,0.1714034742762552,0.07375800216927422,0.06892791820856509,,,,,,
24,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,10,5,5.0,0.17345230281352997,0.1711193025112152,0.1637059599161148,0.20554552972316742,0.283942848443985,,,,,,,0.16832451808473115,0.17499900635747484,0.16919499308774139,0.20577683335928962,0.2835469254468414,,,,,,
25,Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.0800255686044693,0.07894919812679291,0.07640892267227173,0.09483232349157333,0.13100072741508484,0.13510291278362274,0.2297494262456894,,,,,0.0780082679581663,0.079236197539589,0.07859570690931922,0.1020664693793964,0.1360296885251251,0.12977932572126427,0.17070853414082857,,,,
26,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.01284201443195343,,,,,,,,,,,0.008744632992155154,,,,,,,,,,
27,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.07853412628173828,0.0838964432477951,0.0829104334115982,0.08138629049062729,0.09656714648008347,0.1321886032819748,0.1093219593167305,,,,,0.08443365735068889,0.08901328061531258,0.08942654285160317,0.08185710808176135,0.09881664508431691,0.14716201006887572,0.07644752276704267,,,,
28,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.12243974953889847,0.1313975304365158,0.03150364011526108,0.12468928843736649,0.15105083584785461,0.20674365758895874,0.170032799243927,0.21299581229686737,0.28414034843444824,,,0.12409208049258995,0.1328856951109826,0.03386012356871701,0.12605732696491265,0.15502053347984324,0.2222665572493048,0.1849408148472288,0.23919942438841574,0.23133445152628113,,
29,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.039210960268974304,0.041888292878866196,0.04139600321650505,0.04063500463962555,0.048214636743068695,,,,,,,0.03724349298015224,0.0446091795614413,0.04092856553571234,0.03913885546580712,0.03156957614295961,,,,,,
30,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,,False,True,10,10,10.0,0.10146284848451614,0.001442412962205708,0.21061143279075623,0.2077622413635254,0.15948937833309174,0.02607698366045952,0.0163289625197649,0.3346131443977356,0.0346766822040081,0.5358167886734009,,0.09893109330780281,0.0013053796318356478,0.21630175928595394,0.20613698243342946,0.16540086977038973,0.0229525497975247,0.016554694019852028,0.3518043536276939,0.03436897432711085,0.5246531002389805,
31,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.37707120180130005,0.20579251646995544,0.39365845918655396,0.3004271984100342,0.002480427036061883,0.04956766590476036,0.5268163084983826,0.0035737468861043453,0.6426540017127991,0.007232046686112881,,0.36528093573235193,0.19756005505590174,0.3859843310933714,0.3027233467488246,0.002826080019563503,0.051113252257336615,0.5283000687958121,0.004092946844375925,0.690817126753577,0.005353612711202645,
32,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.029295241460204124,0.031295742839574814,0.03092784993350506,,,,,,,,,0.03128075111610315,0.03021016486103742,0.019994474177924503,,,,,,,,
33,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.014656106941401958,0.015656935051083565,,,,,,,,,,0.015237116590049376,0.009581901962410513,,,,,,,,,
34,Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.1073138639330864,0.11378338932991028,0.027486268430948257,0.11088135838508606,0.1321645826101303,0.18059705197811127,,,,,,0.10737204378765888,0.11906632875883381,0.02684433007058217,0.11407179117594488,0.12810030497841385,0.11808716585943066,,,,,
35,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.11447573453187943,0.12229214608669281,0.12085455656051636,0.11862673610448837,0.14076176285743713,0.19268395006656647,0.15936562418937683,0.19843727350234985,,,,0.12100762027386368,0.12805985552045157,0.12860333058679024,0.11967281213964186,0.1453121115312808,0.21386030663107494,0.17526000659313878,0.13726857093224457,,,
36,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,,False,True,10,10,10.0,0.0015074290568009019,0.23756380379199982,0.057057179510593414,0.0010496248723939061,0.26927119493484497,0.21214202046394348,0.018134266138076782,0.2503799796104431,0.03852903097867966,0.45695120096206665,,0.00143103831632889,0.232092854291396,0.05447810539384312,0.0012674476371178432,0.27295387899323253,0.22455815813645227,0.01849689297692594,0.26763470420726954,0.04347944739303032,0.4699932870498161,
37,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.014032673090696335,0.014990825206041336,0.003594182664528489,0.01454230584204197,,,,,,,,0.013690170052410163,0.015615304630396634,0.0035784374355019824,0.009074329352560919,,,,,,,
38,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.10984238982200623,0.11901576071977615,0.13595137000083923,0.10590197890996933,0.13201762735843658,0.14667418599128723,0.15115608274936676,0.20019179582595825,,,,0.11455332778611177,0.1220512625680988,0.1413251713190178,0.10871221122304243,0.1397943494073117,0.15411659323023222,0.16399634035577704,0.14543008350687886,,,
39,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.06465823948383331,0.07657032459974289,0.013990337029099464,0.06819422543048859,0.08509784191846848,0.09438446164131165,0.09736952930688858,,,,,0.06357769029522568,0.08022090660154195,0.014670965029729612,0.06974287174569152,0.08655993214488057,0.09900939826232133,0.062313822240523405,,,,
40,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.00019288799376226962,0.01362709142267704,0.004865554627031088,8.085764420684427e-05,0.006559000816196203,0.03284619003534317,,,,,,0.000158985677015761,0.014470140214328698,0.003951356359138208,9.183088669347519e-07,0.0058877849198056935,0.02271162336332985,,,,,
41,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.13992400467395782,0.1516095995903015,0.15808062255382538,0.1348034143447876,0.17066054046154022,0.18272438645362854,0.1813315600156784,0.25626152753829956,0.3192209303379059,,,0.15066604791452598,0.15573679973125307,0.16072851630825064,0.14016059341867995,0.17660758769208,0.18387607712193638,0.1901976231142297,0.2908694440264176,0.2545875570578778,,
42,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.03989512473344803,0.04322691634297371,0.049378182739019394,0.03850839287042618,,,,,,,,0.040804152722363145,0.043798294334500096,0.050740187537836524,0.027263640612553947,,,,,,,
43,Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.0193958543241024,,,,,,,,,,,0.012579426224620766,,,,,,,,,,
44,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.03185596689581871,0.03451639041304588,,,,,,,,,,0.028609837772264463,0.022595117801571397,,,,,,,,,
45,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8.0,9.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,9.0,10.0,9.0,,9.0,8.5,8.5,,9.5,9.5,9.5,,10.0,10.0,10.0,,9.0,9.3333,9.6666,,,,,,,False,True,10,10,10.0,0.08752892911434174,0.0012434952659532428,0.2087545245885849,0.16344182193279266,0.2060135304927826,0.2033761888742447,0.22714242339134216,0.00488667469471693,0.02554020658135414,0.12910683453083038,,0.08511708064264109,0.001155543812145678,0.21742364356470387,0.1601639751183523,0.2210260429001984,0.2058090672373318,0.23612622437518613,0.005281707222697183,0.0251486015210854,0.13256282492601548,
